植物	種植方式	別名	施肥週期	特性	注意事項	小技巧
蕃薯葉	用「莖」種植即可，建議大於 15 公分		2~4 週	喜高溫、多濕、少蟲害	重肥、插枝後一定要保持泥土濕潤，數日後開始生根冒芽，就可以減少澆水量，待上面的芽結長出新芽，才可開始施肥	收成五次後將收成的重新種回去，待第六次收成時可將舊的拔除
韭菜	菜苗		2~4 週	耐旱	收成使用剪刀收成即可	收成時需覆土，可在周邊灑肥料
空心菜	種子、菜苗		2~4 週	重複生長	重肥、可重複收成，收成後再覆土，收成多次後可將整株挖起在分開種植	種子的話可使用塑膠袋泡水綁起來，並且每天都換水，需要泡三天
茄子	菜株	紅皮菜	2~4 週	茄科為一或二年生草本，矮灌木狀，高約 1 公尺上下，老莖木質化	定植後梗長到大於五段後要把靠近根部三分之一位置的葉子剪掉，在枝與枝之間的新找出來的必須剪掉，且第一個長出的果實也要早收，否則會影響生長	收成時需要將果實旁邊的葉子一起剪掉，需有支柱固定避免果實長出時垂落
青椒	菜株	大同	2~4 週	生長期長，根系不發達，根量少，入土淺，不耐旱也不耐澇，耐肥能力強，土壤要求不嚴格。在生長期裡，吸收鉀肥最多，其次是氮肥，磷肥偏少	定植後梗長到大於五段後要把靠近根部三分之一位置的葉子剪掉，在枝與枝之間的新找出來的必須剪掉，且第一個長出的果實也要早收，否則會影響生長	收成時需要將果實旁邊的葉子一起剪掉，需有支柱固定避免果實長出時垂落
大陸妹	菜苗		2~4 週	全年可栽種、病蟲害少，但不耐乾燥亦不耐水濕	間隔 15~25 公分，需搭棚子預防鳥類，盛產時間: 北部是三至九月，中部二至十月，南部或台東地區一至十月	從外層一點一點收成可延長收成時間，秋初至春季為最佳時機
芫荽	種子	香菜	2~4 週	全株皆可食用、夏季適合	重複收成約兩次後就須整株收成，初期需將種子捏開在播種，並搭棚子預防鳥類啄食	到準備開花時將整株拔起，鋪在容易得蟲害的植物旁邊
蔥	菜株，種子不好顧，或菜市場買		2~4 週	耐旱	種深、持續覆土	收成後可以把年輕的蔥在種回去
芹菜	菜苗		2~4 週	水分要足	間隔約 15 公分，種近一點株之間可以互相依靠讓他們不會傾倒	
小黃瓜	菜株		2~4 週	淺根、喜歡溫暖乾燥	需要有一定高度的地方提供攀爬，不可在地上爬	可摘公花手動授粉給母花，母花有帶一小節的小黃瓜，
山茼蒿	種子		2~4 週	一般多在秋冬季栽培，以種子繁殖為主	定植後若太靠近需要摘除來紓困，方能長更好，需搭棚子預防鳥類	
白苦瓜	菜株		2~4 週	性喜溫暖，耐熱性強，但不耐寒，低溫時生長勢弱	需要有一定高度的地方提供攀爬，不可在地上爬	果實初期就需要用網子包覆避免蚊蟲
木瓜	菜栽		2~3 個月施肥一次	根淺	發育期間對水分供應敏感。土壤缺水會導致木瓜生長暫停、落葉、落果從而減產	長出果實後需要黑色塑膠袋將果實包覆
辣椒	菜株		二週	根量少，入土淺，不耐旱、不耐澇，且需肥量較多，耐肥能力較強	定植後梗長到大於五段後要把靠近根部三分之一位置的葉子剪掉，在枝與枝之間的新找出來的必須剪掉，且第一個長出的果實也要早收，否則會影響生長	收成時需要將果實旁邊的葉子一起剪掉，需有支柱固定避免果實長出時垂落
青江菜	種子	湯匙菜	兩週	全年各地皆有栽種，中部地區常種於 10~2 月	對暑熱和疾病有耐力，但不耐乾燥、需疏苗	嫁接絲瓜的菜苗生命力較強